carbon_wt_pct,silicon_wt_pct,manganese_wt_pct,sulfur_wt_pct,phosphorus_wt_pct,nickel_wt_pct,chromium_wt_pct,molybdenum_wt_pct,vanadium_wt_pct,copper_wt_pct,cobalt_wt_pct,tungsten_wt_pct,oxygen_ppm,titanium_ppm,nitrogen_ppm,aluminium_ppm,boron_ppm,niobium_ppm,tin_ppm,arsenic_ppm,antimony_ppm,current_A,voltage_V,heat_input_kJmm,interpass_temp_C,pwht_temp_C,pwht_time_h,primary_ferrite_pct,ferrite_second_phase_pct,acicular_ferrite_pct,martensite_pct,ferrite_carbide_pct,weld_type_FCA,weld_type_GMAA,weld_type_GTAA,weld_type_MMA,weld_type_NGGMA,weld_type_NGSAW,weld_type_SA,weld_type_SAA,weld_type_ShMA,weld_type_TSA,current_type_AC,current_type_DC,electrode_polarity_+,electrode_polarity_-,electrode_polarity_0
0.042,0.32,1.02,0.007,0.012,,,,,,,,,,,,,,,,,170.0,21.0,1.0,240.0,0.0,0.0,,,,,,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
0.08,0.59,1.84,0.013,0.015,0.45,0.05,0.01,0.01,0.4,,,168.0,250.0,49.0,240.0,9.0,,,,,700.0,32.0,4.8,200.0,0.0,0.0,,,,,,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
0.076,0.34,1.01,0.007,0.007,,,,0.0215,,,,426.0,37.0,75.0,,,5.0,,,,170.0,21.0,1.0,200.0,580.0,2.0,,,,,,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
0.08,0.62,1.83,0.013,0.014,1.51,0.05,0.01,0.01,0.03,,,185.0,230.0,67.0,200.0,7.0,,,,,700.0,32.0,4.8,200.0,0.0,0.0,,,,,,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
0.052,0.33,1.81,0.007,0.013,,1.1,,,,,,,,,,,,,,,170.0,21.0,1.0,200.0,580.0,2.0,,,,,,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
0.08,0.67,1.94,0.013,0.015,0.51,0.05,0.01,0.01,0.43,,,142.0,280.0,57.0,220.0,40.0,,,,,700.0,32.0,4.8,200.0,0.0,0.0,,,,,,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
0.077,0.32,1.33,0.007,0.005,,,,,,,,422.0,36.0,83.0,,,,,,,170.0,21.0,1.0,200.0,580.0,2.0,,,,,,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
0.076,0.38,0.67,0.009,0.007,,,,,,,,362.0,160.0,70.0,,,,,,,170.0,21.0,1.0,200.0,580.0,2.0,,,,,,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
0.072,0.36,0.64,0.008,0.006,,,,0.0815,,,,436.0,34.0,84.0,,,5.0,,,,170.0,21.0,1.0,200.0,580.0,2.0,,,,,,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
0.078,0.43,1.1,0.007,0.005,,,,,,,,329.0,190.0,73.0,,,,,,,170.0,21.0,1.0,200.0,580.0,2.0,,,,,,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
0.078,0.3,1.76,0.007,0.007,,,,0.0004,,,,433.0,32.0,110.0,,,230.0,,,,170.0,21.0,1.0,200.0,580.0,2.0,,,,,,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
0.045,0.33,1.85,0.007,0.016,,0.0,,,,,,,,,,,,,,,170.0,21.0,1.0,200.0,580.0,2.0,,,,,,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
0.041,0.31,0.98,0.008,0.012,3.46,,,,,,,,,,,,,,,,170.0,21.0,1.0,200.0,580.0,2.0,,,,,,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
0.078,0.3,1.35,0.007,0.007,,,,0.0595,,,,405.0,30.0,76.0,,,5.0,,,,170.0,21.0,1.0,200.0,580.0,2.0,,,,,,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
0.077,0.28,1.79,0.007,0.006,,,,,,,,439.0,7.0,82.0,,,,,,,170.0,21.0,1.0,200.0,580.0,2.0,,,,,,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
0.094,0.16,1.01,0.018,0.026,0.13,0.05,0.01,,0.11,,,569.0,,102.0,,,100.0,,,100.0,550.0,28.0,3.6,100.0,0.0,0.0,,,,,,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
0.076,0.19,1.16,0.02,0.02,0.17,0.07,0.02,0.02,0.17,,,609.0,,131.0,,,200.0,200.0,200.0,100.0,550.0,28.0,3.6,100.0,0.0,0.0,,,,,,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
0.08,0.62,1.86,0.013,0.016,0.01,0.05,0.01,0.01,0.81,,,174.0,230.0,54.0,220.0,10.0,,,,,700.0,32.0,4.8,200.0,0.0,0.0,,,,,,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
0.09,0.63,1.9,0.013,0.015,0.01,0.05,0.01,0.01,0.04,,,165.0,250.0,56.0,190.0,36.0,,,,,700.0,32.0,4.8,200.0,0.0,0.0,,,,,,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
0.035,0.3,0.66,0.006,0.013,,,,,,,,490.0,,70.0,,,,,,,170.0,21.0,1.0,150.0,500.0,2.0,,,,,,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
0.077,0.29,1.77,0.008,0.009,,,,0.0004,,,,432.0,31.0,97.0,,,450.0,,,,170.0,21.0,1.0,200.0,580.0,2.0,,,,,,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
0.075,0.35,1.05,0.008,0.007,,,,,,,,361.0,140.0,82.0,,,,,,,170.0,21.0,1.0,200.0,580.0,2.0,,,,,,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
0.038,0.3,1.0,0.005,0.014,,,,,,,,460.0,,100.0,,,,,,,170.0,21.0,1.0,150.0,0.0,0.0,,,,,,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
0.043,0.33,1.0,0.006,0.013,1.1,,,,,,,,,,,,,,,,170.0,21.0,1.0,200.0,580.0,2.0,,,,,,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
0.045,0.3,0.99,0.008,0.01,,,,,,,,,,,,,,,,,170.0,21.0,1.0,300.0,0.0,0.0,,,,,,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
0.036,0.31,0.6,0.008,0.012,,,,,,,,,,,,,,,,,170.0,21.0,1.0,20.0,0.0,0.0,,,,,,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
0.041,0.3,0.59,0.009,0.011,,1.0,,,,,,,,,,,,,,,170.0,21.0,1.0,200.0,580.0,2.0,,,,,,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
0.046,0.31,1.4,0.007,0.012,,,,,,,,,,,,,,,,,170.0,21.0,1.0,150.0,0.0,0.0,,,,,,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
0.075,0.35,0.66,0.009,0.007,,,,,,,,396.0,96.0,71.0,,,,,,,170.0,21.0,1.0,200.0,580.0,2.0,,,,,,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
0.1,0.31,1.37,0.02,0.028,0.08,0.06,0.02,,0.15,,,336.0,,99.0,130.0,,300.0,200.0,,100.0,550.0,28.0,3.6,100.0,0.0,0.0,,,,,,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
0.048,0.33,1.4,0.007,0.013,3.47,,,,,,,,,,,,,,,,170.0,21.0,1.0,200.0,580.0,2.0,,,,,,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
0.077,0.31,1.33,0.007,0.005,,,,0.0004,,,,419.0,38.0,80.0,,,6.0,,,,170.0,21.0,1.0,200.0,580.0,2.0,,,,,,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
0.038,0.31,0.63,0.007,0.012,1.09,,,,,,,,,,,,,,,,170.0,21.0,1.0,200.0,580.0,2.0,,,,,,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
0.044,0.35,1.43,0.007,0.014,0.0,,,,,,,,,,,,,,,,170.0,21.0,1.0,200.0,580.0,2.0,,,,,,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
0.051,0.34,1.82,0.006,0.017,,,,,,,,390.0,,90.0,,,,,,,170.0,21.0,1.0,150.0,500.0,2.0,,,,,,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
0.078,0.31,1.75,0.007,0.006,,,,,,,,417.0,36.0,94.0,,,,,,,170.0,21.0,1.0,200.0,580.0,2.0,,,,,,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
0.075,0.32,1.83,0.006,0.007,,,,,,,,346.0,170.0,82.0,,,,,,,170.0,21.0,1.0,200.0,580.0,2.0,,,,,,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
0.079,0.37,1.82,0.006,0.007,,,,,,,,324.0,255.0,81.0,,,,,,,170.0,21.0,1.0,200.0,580.0,2.0,,,,,,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
0.073,0.35,0.64,0.005,0.004,,,,0.0003,,,,428.0,38.0,77.0,,,,,,,170.0,21.0,1.0,200.0,580.0,2.0,,,,,,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
0.037,0.3,0.65,0.008,0.012,0.0,,,,,,,,,,,,,,,,170.0,21.0,1.0,200.0,580.0,2.0,,,,,,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
0.037,0.3,0.65,0.008,0.012,,0.0,,,,,,,,,,,,,,,170.0,21.0,1.0,200.0,580.0,2.0,,,,,,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
0.051,0.33,1.83,0.006,0.013,,0.52,,,,,,,,,,,,,,,170.0,21.0,1.0,200.0,580.0,2.0,,,,,,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
0.076,0.29,1.74,0.008,0.006,,,,0.0004,,,,415.0,35.0,92.0,,,,,,,170.0,21.0,1.0,200.0,580.0,2.0,,,,,,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
0.046,0.3,0.93,0.008,0.012,,2.38,,,,,,,,,,,,,,,170.0,21.0,1.0,200.0,580.0,2.0,,,,,,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
0.11,0.36,1.61,0.017,0.03,0.06,0.052,0.02,0.01,0.12,,,305.0,,95.0,140.0,,200.0,100.0,100.0,100.0,550.0,28.0,3.6,100.0,0.0,0.0,,,,,,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
0.079,0.29,1.79,0.006,0.007,,,,0.0004,,,,406.0,33.0,105.0,,,895.0,,,,170.0,21.0,1.0,200.0,580.0,2.0,,,,,,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
0.1,0.28,1.42,0.011,0.024,0.09,0.08,0.04,0.01,0.15,,,430.0,,150.0,150.0,,300.0,200.0,200.0,200.0,550.0,28.0,3.6,100.0,0.0,0.0,,,,,,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
0.074,0.36,0.63,0.008,0.005,,,,0.06,,,,432.0,31.0,75.0,,,5.0,,,,170.0,21.0,1.0,200.0,580.0,2.0,,,,,,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
0.073,0.3,1.32,0.008,0.007,,,,,,,,401.0,75.0,77.0,,,,,,,170.0,21.0,1.0,200.0,580.0,2.0,,,,,,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
0.045,0.32,0.97,0.007,0.012,,1.04,,,,,,,,,,,,,,,170.0,21.0,1.0,200.0,580.0,2.0,,,,,,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
0.037,0.31,1.03,0.007,0.014,,0.0,,,,,,,,,,,,,,,170.0,21.0,1.0,200.0,580.0,2.0,,,,,,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
0.077,0.29,1.76,0.007,0.007,,,,,,,,396.0,105.0,81.0,,,,,,,170.0,21.0,1.0,200.0,580.0,2.0,,,,,,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
0.08,0.68,1.94,0.013,0.015,1.54,0.05,0.01,0.01,0.85,,,132.0,290.0,55.0,270.0,44.0,,,,,700.0,32.0,4.8,200.0,0.0,0.0,,,,,,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
0.073,0.34,0.64,0.007,0.005,,,,0.0003,,,,431.0,41.0,80.0,,,120.0,,,,170.0,21.0,1.0,200.0,580.0,2.0,,,,,,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
0.094,0.31,1.32,0.009,0.017,0.05,0.04,,,0.11,,,233.0,,95.0,140.0,,,,,,550.0,28.0,3.6,100.0,0.0,0.0,,,,,,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
0.07,0.33,0.64,0.007,0.004,,,,0.0007,,,,413.0,42.0,85.0,,,450.0,,,,170.0,21.0,1.0,200.0,580.0,2.0,,,,,,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
0.076,0.35,1.01,0.008,0.005,,,,,,,,401.0,41.0,74.0,,,,,,,170.0,21.0,1.0,200.0,580.0,2.0,,,,,,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
0.053,0.35,1.83,0.007,0.012,1.06,,,,,,,,,,,,,,,,170.0,21.0,1.0,200.0,580.0,2.0,,,,,,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
0.08,0.58,1.83,0.013,0.016,0.45,0.05,0.01,0.01,0.03,,,171.0,230.0,55.0,230.0,6.0,,,,,700.0,32.0,4.8,200.0,0.0,0.0,,,,,,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
0.077,0.34,1.39,0.007,0.007,,,,0.0004,,,,409.0,32.0,99.0,,,455.0,,,,170.0,21.0,1.0,200.0,580.0,2.0,,,,,,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
0.078,0.35,1.02,0.007,0.005,,,,0.0004,,,,368.0,36.0,83.0,,,120.0,,,,170.0,21.0,1.0,200.0,580.0,2.0,,,,,,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
0.077,0.26,1.73,0.007,0.008,,,,0.0235,,,,423.0,27.0,72.0,,,5.0,,,,170.0,21.0,1.0,200.0,580.0,2.0,,,,,,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
0.045,0.33,1.85,0.007,0.016,0.0,,,,,,,,,,,,,,,,170.0,21.0,1.0,200.0,580.0,2.0,,,,,,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
0.072,0.33,1.22,0.008,0.006,,,,0.019,,,,447.0,29.0,85.0,,,5.0,,,,170.0,21.0,1.0,200.0,580.0,2.0,,,,,,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
0.076,0.3,1.36,0.008,0.006,,,,0.0004,,,,370.0,33.0,84.0,,,235.0,,,,170.0,21.0,1.0,200.0,580.0,2.0,,,,,,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
0.043,0.31,0.95,0.007,0.01,,0.53,,,,,,,,,,,,,,,170.0,21.0,1.0,200.0,580.0,2.0,,,,,,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
0.076,0.29,1.74,0.008,0.006,,,,0.0004,,,,415.0,35.0,92.0,,,6.0,,,,170.0,21.0,1.0,200.0,580.0,2.0,,,,,,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
0.074,0.35,0.63,0.009,0.007,,,,,,,,472.0,8.0,66.0,,,,,,,170.0,21.0,1.0,200.0,580.0,2.0,,,,,,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
0.075,0.34,1.02,0.007,0.006,,,,0.0005,,,,417.0,37.0,79.0,,,985.0,,,,170.0,21.0,1.0,200.0,580.0,2.0,,,,,,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
0.047,0.31,1.37,0.008,0.013,,,,,,,,,,,,,,,,,170.0,21.0,1.0,240.0,0.0,0.0,,,,,,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
0.077,0.32,1.05,0.008,0.006,,,,0.085,,,,400.0,34.0,72.0,,,5.0,,,,170.0,21.0,1.0,200.0,580.0,2.0,,,,,,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
0.039,0.28,0.58,0.008,0.012,,,,,,,,,,,,,,,,,170.0,21.0,1.0,150.0,0.0,0.0,,,,,,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
0.046,0.31,1.39,0.008,0.015,,,,,,,,,,,,,,,,,170.0,21.0,1.0,20.0,0.0,0.0,,,,,,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
0.075,0.31,1.03,0.008,0.007,,,,,,,,394.0,92.0,79.0,,,,,,,170.0,21.0,1.0,200.0,580.0,2.0,,,,,,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
0.044,0.35,1.43,0.007,0.014,,0.0,,,,,,,,,,,,,,,170.0,21.0,1.0,200.0,580.0,2.0,,,,,,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
0.075,0.33,0.62,0.007,0.005,,,,0.0003,,,,429.0,42.0,85.0,,,220.0,,,,170.0,21.0,1.0,200.0,580.0,2.0,,,,,,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
0.078,0.44,0.71,0.006,0.008,,,,,,,,306.0,225.0,76.0,,,,,,,170.0,21.0,1.0,200.0,580.0,2.0,,,,,,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
0.078,0.31,1.04,0.007,0.006,,,,0.044,,,,429.0,32.0,48.0,,,5.0,,,,170.0,21.0,1.0,200.0,580.0,2.0,,,,,,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
0.076,0.26,1.36,0.007,0.006,,,,0.1005,,,,407.0,29.0,83.0,,,5.0,,,,170.0,21.0,1.0,200.0,580.0,2.0,,,,,,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
0.079,0.33,1.35,0.008,0.007,,,,,,,,375.0,140.0,78.0,,,,,,,170.0,21.0,1.0,200.0,580.0,2.0,,,,,,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
0.077,0.31,1.33,0.007,0.005,,,,0.0004,,,,419.0,38.0,80.0,,,6.0,,,,170.0,21.0,1.0,200.0,580.0,2.0,,,,,,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
0.047,0.28,1.66,0.007,0.012,,,,,,,,,,,,,,,,,170.0,21.0,1.0,300.0,0.0,0.0,,,,,,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
0.037,0.31,1.03,0.007,0.014,0.0,,,,,,,,,,,,,,,,170.0,21.0,1.0,200.0,580.0,2.0,,,,,,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
0.044,0.31,0.96,0.006,0.013,2.38,,,,,,,,,,,,,,,,170.0,21.0,1.0,200.0,580.0,2.0,,,,,,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
0.07,0.53,1.72,0.012,0.016,0.01,0.03,0.01,0.01,0.03,,,176.0,240.0,54.0,210.0,7.0,,,,,700.0,32.0,4.8,200.0,0.0,0.0,,,,,,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
0.074,0.34,1.0,0.007,0.006,,,,0.0005,,,,424.0,37.0,86.0,,,255.0,,,,170.0,21.0,1.0,200.0,580.0,2.0,,,,,,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
0.042,0.25,0.55,0.008,0.01,,,,,,,,,,,,,,,,,170.0,21.0,1.0,300.0,0.0,0.0,,,,,,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
0.077,0.3,1.0,0.008,0.007,,,,,,,,464.0,7.0,83.0,,,,,,,170.0,21.0,1.0,200.0,580.0,2.0,,,,,,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
0.048,0.33,1.37,0.008,0.013,,1.08,,,,,,,,,,,,,,,170.0,21.0,1.0,200.0,580.0,2.0,,,,,,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
0.041,0.3,0.62,0.007,0.01,2.38,,,,,,,,,,,,,,,,170.0,21.0,1.0,200.0,580.0,2.0,,,,,,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
0.049,0.35,1.37,0.007,0.013,1.06,,,,,,,,,,,,,,,,170.0,21.0,1.0,200.0,580.0,2.0,,,,,,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
0.037,0.28,0.6,0.008,0.01,,,,,,,,,,,,,,,,,170.0,21.0,1.0,240.0,0.0,0.0,,,,,,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
0.049,0.31,1.77,0.007,0.014,,,,,,,,,,,,,,,,,170.0,21.0,1.0,150.0,0.0,0.0,,,,,,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
